Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-1,"O,x,b,x,d,x,O","X,5,-30,x","0.6,0.3,0.6,0.3",0.8,0.03846153846,0.9,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,-1,"O,x,c,x,e,x,a","X,-5,-30,-5","0.6,0.3,0.6,0.3",0.78,0.03846153846,0.9,1,"O,O,f,d","0,1",
c,-1,"O,x,O,x,f,x,b","x,x,-30,5","0.6,0.3,0.6,0.3",0.8,0.03846153846,0.9,1,"O,O,O,e","0,2",
d,-4,"a,x,e,x,g,x,O","30,7,-60,x","0.6,1,0.6,1",0.75,0.1282051282,0.65,0.8,"O,b,h,O","1,0",
e,-4,"b,x,f,x,h,x,d","30,-7,-60,-7","0.6,1,0.6,1",0.7,0.1282051282,0.65,0.8,"a,c,i,g","1,1",
f,-4,"c,x,O,x,i,x,e","30,x,-60,7","0.6,1,0.6,1",0.75,0.1282051282,0.65,0.8,"b,O,O,h","1,2",
g,4,"d,x,h,x,j,x,O","60,7,-40,x","0.6,1,0.6,1",0.82,0.1282051282,0.45,0.5,"O,e,k,O","2,0",
h,4,"e,x,i,x,k,x,g","60,-7,-40,-7","0.6,1,0.6,1",0.8,0.1282051282,0.45,0.5,"d,f,l,j","2,1",
i,4,"f,x,O,x,l,x,h","60,x,-40,7","0.6,1,0.6,1",0.82,0.1282051282,0.45,0.5,"e,O,O,k","2,2",
j,5,"g,x,k,x,O,x,O","40,5,x,x","0.6,0.3,0.6,0.3",0.72,0.03846153846,0.25,0.3,"O,h,O,O","3,0",
k,5,"h,x,l,x,O,x,j","40,-5,x,-5","0.6,0.3,0.6,0.3",0.7,0.03846153846,0.25,0.3,"g,i,O,O","3,1",
l,5,"i,x,O,x,O,x,k","40,x,x,5","0.6,0.3,0.6,0.3",0.72,0.03846153846,0.25,0.3,"h,O,O,O","3,2",
